HNetID,VIN,Stock #,Stock-Type,Year,Make,Model,Model-No,Model-Type,Transmission,Trim-Level,# of Doors,Mileage,# of Cyl,Engine,Drivetrain,Ext. Color,Int. Color,Invoice Price,Retail Price,Book Value,Selling Price,Entry Date,Certified,Description,Options,Wheelbase,Commercial
2122511,KNDPBCAC6F7781190,K20920,NEW,2015,KIA,SPORTAGE,42422/020,MP,AUTOMATIC,,,8,,,,BLACK_CHERRY/BLACK_CHERRY,,25318.00,26160.00,,26160.00,04/27/15,,,CF CT PKG UVH WL,,
2122511,KNDJN2A22F7169163,K20789,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,8,,,,TITANIUM_GRAY/TITANIUM_GRAY,,17779.00,18135.00,,18135.00,04/07/15,,,CF,,
2122511,KNDPBCAC1F7772414,K20658,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,8,,,,CLEAR_WHITE/CLEAR_WHITE,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,KNAGM4A77F5571757,K20527,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,7,,,,SMOKEY_BLUE/SMOKEY_BLUE,,23444.00,24245.00,,24245.00,03/13/15,,,CF COP,,
2122511,5XXGM4A78FG444756,K20397,NEW,2015,KIA,OPTIMA,53222/010,SD,AUTOMATIC,,,6,,,,SMOKEY_BLUE/SMOKEY_BLUE,,21940.00,22645.00,,22645.00,01/22/15,,,CF,,
2122511,KNDPBCAC2F7772423,K20659,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,8,,,,CLEAR_WHITE/CLEAR_WHITE,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,5XXGM4A75FG456329,K20528,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,3,,,,PLATINUM_GRAPHITE/PLATINUM_GRAPHITE,,22998.00,23775.00,,23775.00,03/13/15,,,CF CKG DSA,,
2122511,KNDPBCAC9F7781085,K20921,NEW,2015,KIA,SPORTAGE,42422/020,MP,AUTOMATIC,,,8,,,,BRIGHT_SILVER/BRIGHT_SILVER,,25318.00,26160.00,,26160.00,04/27/15,,,CF CT PKG UVH WL,,
2122511,KNDPBCAC7F7772028,K20790,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,8,,,,CLEAR_WHITE/CLEAR_WHITE,,23763.00,24475.00,,24475.00,04/07/15,,,CF CN,,
2122511,KNDJX3A58F7142592,K20266,NEW,2015,KIA,SOUL,B2542/040,WG,,,,15,,G4NCEH57518,,AYE/SOLOR_YELLOW,,23192.00,24275.00,,24275.00,12/01/14,,,CF SNS WL,,
2122511,KNDPBCAC1F7781128,K20922,NEW,2015,KIA,SPORTAGE,42422/020,MP,AUTOMATIC,,,10,,,,TWILIGHT_BLUE/TWILIGHT_BLUE,,25318.00,26160.00,,26160.00,04/27/15,,,CF CT PKG UVH WL,,
2122511,5XYPG4A35GG028830,K20791,NEW,2016,KIA,SORENTO,73222/020,UT,AUTOMATIC,,,8,,,,EBONY_BLACK/EBONY_BLACK,,28011.00,28875.00,,28875.00,04/08/15,,,CF CPK PL RS,,
2122511,5XXGN4A72FG403245,K19874,NEW,2015,KIA,OPTIMA,53242/010,,,,,10,,G4KJEK58021,,SWP_SNOW_WHITE_PEA/SWP_SNOW_WHITE_PEA,,24200.00,25525.00,,25525.00,09/17/14,,,SWP RSP,,
